country,sex,age,citizenship,value
Bosnia and Herzegovina,Male,15-24,National citizens,184937
Bosnia and Herzegovina,Male,15-24,Foreign citizens,291
Bosnia and Herzegovina,Male,25-54,National citizens,714418
Bosnia and Herzegovina,Male,25-54,Foreign citizens,763
Bosnia and Herzegovina,Male,55-64,National citizens,237510
Bosnia and Herzegovina,Male,65+,National citizens,271084
Bosnia and Herzegovina,Male,65+,Foreign citizens,388
Bosnia and Herzegovina,Female,15-24,National citizens,174817
Bosnia and Herzegovina,Female,25-54,National citizens,688299
Bosnia and Herzegovina,Female,25-54,Foreign citizens,952
Bosnia and Herzegovina,Female,55-64,National citizens,254658
Bosnia and Herzegovina,Female,55-64,Foreign citizens,148
Bosnia and Herzegovina,Female,65+,National citizens,363454
Bosnia and Herzegovina,Female,65+,Foreign citizens,339
Spain,Male,15-24,National citizens,2369250
Spain,Male,15-24,Foreign citizens,349023
Spain,Male,25-54,National citizens,8269972
Spain,Male,25-54,Foreign citizens,1803991
Spain,Male,55-64,National citizens,3069561
Spain,Male,55-64,Foreign citizens,302720
Spain,Male,65+,National citizens,4083150
Spain,Male,65+,Foreign citizens,234772
Spain,Female,15-24,National citizens,2210357
Spain,Female,15-24,Foreign citizens,347910
Spain,Female,25-54,National citizens,7965432
Spain,Female,25-54,Foreign citizens,2007014
Spain,Female,55-64,National citizens,3214406
Spain,Female,55-64,Foreign citizens,315305
Spain,Female,65+,National citizens,5224784
Spain,Female,65+,Foreign citizens,329518
Greece,Male,15-24,National citizens,522221
Greece,Male,15-24,Foreign citizens,12826
Greece,Male,25-54,National citizens,1957526
Greece,Male,25-54,Foreign citizens,89804
Greece,Male,55-64,National citizens,672382
Greece,Male,55-64,Foreign citizens,13083
Greece,Male,65+,National citizens,1080886
Greece,Male,65+,Foreign citizens,10142
Greece,Female,15-24,National citizens,513676
Greece,Female,15-24,Foreign citizens,16737
Greece,Female,25-54,National citizens,1880569
Greece,Female,25-54,Foreign citizens,103239
Greece,Female,55-64,National citizens,747331
Greece,Female,55-64,Foreign citizens,22237
Greece,Female,65+,National citizens,1358987
Greece,Female,65+,Foreign citizens,16398
Croatia,Male,15-24,National citizens,203967
Croatia,Male,25-54,National citizens,754176
Croatia,Male,25-54,Foreign citizens,8039
Croatia,Male,55-64,National citizens,255800
Croatia,Male,55-64,Foreign citizens,1718
Croatia,Male,65+,National citizens,366055
Croatia,Male,65+,Foreign citizens,1915
Croatia,Female,15-24,National citizens,186996
Croatia,Female,25-54,National citizens,718345
Croatia,Female,25-54,Foreign citizens,8157
Croatia,Female,55-64,National citizens,281405
Croatia,Female,55-64,Foreign citizens,1962
Croatia,Female,65+,National citizens,498084
Croatia,Female,65+,Foreign citizens,2036
Italy,Male,15-24,National citizens,2740681
Italy,Male,15-24,Foreign citizens,274287
Italy,Male,25-54,National citizens,9804061
Italy,Male,25-54,Foreign citizens,1430178
Italy,Male,55-64,National citizens,4197643
Italy,Male,55-64,Foreign citizens,205187
Italy,Male,65+,National citizens,6162827
Italy,Male,65+,Foreign citizens,90249
Italy,Female,15-24,National citizens,2593083
Italy,Female,15-24,Foreign citizens,215305
Italy,Female,25-54,National citizens,9642107
Italy,Female,25-54,Foreign citizens,1501212
Italy,Female,55-64,National citizens,4319446
Italy,Female,55-64,Foreign citizens,307175
Italy,Female,65+,National citizens,7697163
Italy,Female,65+,Foreign citizens,176904
Kosovo,Male,15-24,National citizens,133322
Kosovo,Male,25-54,National citizens,319047
Kosovo,Male,25-54,Foreign citizens,1299
Kosovo,Male,55-64,National citizens,83355
Kosovo,Male,55-64,Foreign citizens,171
Kosovo,Male,65+,National citizens,84192
Kosovo,Male,65+,Foreign citizens,221
Kosovo,Female,15-24,National citizens,124954
Kosovo,Female,15-24,Foreign citizens,313
Kosovo,Female,25-54,National citizens,320843
Kosovo,Female,25-54,Foreign citizens,977
Kosovo,Female,55-64,National citizens,90058
Kosovo,Female,55-64,Foreign citizens,285
Kosovo,Female,65+,National citizens,93467
Malta,Male,15-24,National citizens,21710
Malta,Male,15-24,Foreign citizens,6612
Malta,Male,25-54,National citizens,84429
Malta,Male,25-54,Foreign citizens,73647
Malta,Male,55-64,National citizens,23543
Malta,Male,55-64,Foreign citizens,6749
Malta,Male,65+,National citizens,44068
Malta,Male,65+,Foreign citizens,2921
